relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit,block_number
eden,8326792,0xd43a979f2fabbb0c7e43d5b591e2078efb29976ce1a76d446ff9efbf71da3cec,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,16074612402009383,25314955,30000000,19129882
eden,8326417,0xee40fa8608189779dbb007458c09bc00d78d8b6a395abfc6eabba069a9fc141d,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,23976328930806104,27296752,30000000,19129512
eden,8325839,0x4582008327ee9b2f7b2c943eada6d651b77d3cdd9c71fe3a0e111df501d32c0e,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,16483677603847774,24331483,30000000,19128941
eden,8325529,0x21fa1b134dd57e69bd7c3ddaf6914e36e209fc7da8e040da8950dc7ee5ed0e21,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,22075526509241521,21766142,30000000,19128631
eden,8325073,0xd70b60f5f31567f5a56cfd684d5e3208a181bacdad8da92bebf8490e2511e76c,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,78838663412390022,21354821,30000000,19128177
eden,8324971,0xd7bc356fd1222d7fd4202ffa8fbd7c77631f2c708d3c50650461ddb5450470c6,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,77531149439472615,15775878,30000000,19128076
eden,8324666,0xdd45350865be1271e56e07095df05564f384226800e3c747fcf535fc2a6f2ae4,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,7371274615925095,6471276,30000000,19127773
eden,8324331,0xf903adacf9c7ea5e05a33fb39dc72dd9d9bf51065a2ef10644744e0008e33147,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,25212680850910327,13966519,30000000,19127440
eden,8324273,0x0c2f3045cf20c7e4084356858edf03e26dcf9c1fb834306da606eb2ea6b6a6c4,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,60562775174332579,12087252,30000000,19127382
eden,8324058,0xf74e5d7ff2af647078353cb3471c6641179fe81b865b71d7ec37f4be6de8c19a,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,61392206823564607,11388623,30000000,19127175
eden,8323174,0x1ddb640a1a620162c9efede8fc66bee5d76438d0b43fa016fc0fc15a182fa0e2,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,93092286220022451,23126584,30000000,19126298
eden,8323144,0xf8fe6646f152a17b5c4286b5f96c8928442066e2f950d756c876b38d73f7b360,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,17310995080225508,12263705,30000000,19126268
eden,8323120,0x9b615b163a0e7ddfe55f107d31b9942729d31756858065a75cd491a6702677a5,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,33661164783933302,12456509,30000000,19126244
eden,8322532,0xb9144675028e98f756599a1ea5348990b5a6bd335dc33688eb0dcfa1c9e33126,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,66993998255021364,17441950,30000000,19125662
eden,8322361,0xda18e3cb774a34ad682c132135e06c1cf3f1454b8799b12eaca06e052b8af159,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,8048678411502991,21685649,30000000,19125493
eden,8322296,0xc446c99e866827b0b977051f8b4fd36890b512bd963674f26ee703a0a6529394,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,24586390102228885,14695553,30000000,19125428
eden,8321956,0xe9df365f3040ea34740e8935610b1a1120e7338b1ada77616415e5ffb0dd88fa,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,33897636760536159,20564885,30000000,19125097
eden,8321860,0x5dc0c365073b4f86ccc64af6117f176e7e29ea224395bb23045f9cb38e57c3cd,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,49827328263984707,29992861,30000000,19125002
eden,8321678,0xa47aaf30fdf014284f565343c4e83519380c3c6afd9147643fd7b7167467044e,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,35954036837746901,20286916,30000000,19124821
eden,8321499,0xa2964ea2164524a3cb4d044e3dbbab9bd1f1a3f01027c067c45c3fdca285d2ae,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,30816700288897156,26852481,30000000,19124643
eden,8321346,0xee8c3f1c4427878206dc75560d8c13a583484396336b924d6fe21683a68c5a86,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,18439983932233639,15234733,30000000,19124492
eden,8320768,0x466c161d352164dce230f2dc201f34fee915355c33038c7dde523bbe7363d127,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,19207889238013889,13435689,30000000,19123919
eden,8320572,0x085e230a1f3a5b3a9ac309db8f7801a3c3c337a74e57914f533f4b4be06a8dc2,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,19347290917920475,18973141,30000000,19123725
eden,8320535,0xf5cb27c68896593e40543beefd03547bf5ac1e392d0130c1c8b2e0d1d9e167f7,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,17161709970792486,18192938,30000000,19123688
eden,8320103,0xb8b11466f8e3a45c4cc03539145dc62b1fe5078f55bc7d3f35fd7eb2f3c60e9f,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,103991648573806636,15163521,30000000,19123263
eden,8319710,0x4b1051506302150f1ee75997103ff5eea523366f6ba2caeba77ee3aa5c7a91d0,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,14393369174805141,16097522,30000000,19122871
eden,8319672,0x33d30e226ebe83e415c165c918f0cc9989656774671c04b829328b240bed48a7,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,10148993966364947,24444775,30000000,19122833
eden,8319188,0x77a958b297974a2e7de4bb11f3a90866c2c12c889d1dae798d2b3e199d767751,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,68400920387842108,26878346,30000000,19122350
eden,8319093,0xa8c2267bc0ad61d38152c477366625270d8998bdab6828245e6a9b71e59f1e91,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,37838267145949605,21047139,30000000,19122257
eden,8319081,0x10e3c8d2d991835d9feb08307d66dffd3b875d268223132bb9800fa07956a763,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,190741176580228717,20494320,30000000,19122245
eden,8318640,0xf0d92d99b0ae77f143361db68de8ef3abd20b4e074bd97f19fc30f4a04d88d7a,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,57067303338291271,17446532,30000000,19121806
eden,8318400,0x52e0b5ad6dfaceeb40a0c16ebe1c9536f1bc3108c6a1da097164e10f6e987fe6,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,4753717893013225867,29986423,30000000,19121567
eden,8318159,0x794ccdc120e546247490044743c2243bbd5222168c12817ec3f392930cf72b6e,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,49566442349131298,27260279,30000000,19121328
eden,8317610,0x5501e89056ebf6e347cec13816b85fd795d83d0a9933ae4134dbf58f743dd72e,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,22038639878810708,18619168,30000000,19120784
eden,8317445,0xfddfb981b5507afab3606016f2f80b1fd70eed8656f6d105e7dd7dde1c629194,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,33566488512697209,12672524,30000000,19120621
eden,8317290,0xa488f49b2adb0bd67713f38d44ce475544fa7a9c8d381f9f27b7673afdb39899,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,99809146609584173,8509221,30000000,19120467
eden,8317042,0x4815b90daa21881b4f7d2699cbc56447735eb88cc8bf34bd3be9347e7c571b8b,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,86552791497738504,17970152,30000000,19120223
eden,8316924,0xed64218b91dfa9acd9593b1a99f54ec403b0a4dc58123a5a8e7cf289c7fa46d7,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,48590383776252059,13711084,30000000,19120105
eden,8316775,0xf1b92ca640dff5a2064d99d80326505c44099b6243c6d747b60702c3bfc1c4ec,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,165599649154435253,20564008,30000000,19119956
eden,8316719,0x24531f131bad67fa30cf1348daa83acf42d62ddffbad72471d9cf405c61316ad,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,18845248083835081,14533070,30000000,19119901
eden,8316268,0x66b5e430ba7804c193cafd7ac0698db1e21723e98be560ba5ff4e1e3325af92e,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,25273241584657459,12858957,30000000,19119453
eden,8316186,0x54e6449291ffe15f682f5e5a4513e9818f4921060957b2ebea7e5ee7012eece1,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,16333829505095126,10819046,30000000,19119372
eden,8315695,0x7b61152853ab4523b3b62c42d60026c189a245f30536e9e649d32c6c91ecee13,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,37814636096611784,15896026,30000000,19118883
eden,8315559,0x9ae584cadd6ca83f300fc72c8c36a8a5c2b345575cc1cc20e09aecf4c883fdb5,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,31910841004863808,23827675,30000000,19118748
eden,8315183,0x07e6c68889db3516c5d16ba90b5e8dfbcccabcdc8a00623c9e2c0f542f82f010,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,8824988968612026,15765023,30000000,19118373
eden,8315083,0x50ccae28be6a21d1d34d82a48a153b2b4521ade1dd838688ec77b025dc6a38ed,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,45468947252477720,19175973,30000000,19118274
eden,8315013,0x373b5f8729fe06fa8d47eec88f9c4e61089673120ec441a68e27c8ebf23ebdbd,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,31266904211643320,21245012,30000000,19118204
eden,8314907,0x090d935e83d12fe61d6f03a83e374bd5fa036ebf312e6b52dc348235c9d4a260,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,66145590879506910,21086803,30000000,19118099
eden,8314706,0x2067be16dc5448d94c6fb359ca2f5faa529d0cbe5e8bfb5a9f73c9c336c9244b,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,25489054728148017,16474812,30000000,19117898
eden,8314661,0xf58bf1f0a2a977f98bbbd45146898a845686d981928be932746577e1b87a4eeb,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,10244764100649821,12962499,30000000,19117853
eden,8314569,0xa7da47eb76ac495d818036e5dc4c7d2ef590c23beba822c23bdb54ae4d14c961,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,29616551127572033,18814465,30000000,19117763
eden,8314545,0x4edd6f0c011e76268b5ebf7849c119bd40d53030d51111180394dbea4dfb114a,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,16353941391928792,13292843,30000000,19117739
eden,8314372,0x612f43fadfa99ec4e7bd2b15fd39fca95d3c3a594ea1e2db677c0f126fe861bd,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,411615786704916363,12807880,30000000,19117566
eden,8314169,0xf5e67696dd5414ecd334746a7be76e34a662ca5ffb96c4de2fa2d093a8b42b5e,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,130612029582615180,22991084,30000000,19117363
eden,8314070,0x9563667eb9ddb25bd9e8af80c6233db80fc8050fb0bc6a029a3f2778d784705c,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,28926263493699323,20390525,30000000,19117264
eden,8313705,0x3894c1bf906694eb3d5ecee0576a2957eb490d1c554a11bcd0763c9f9db78a3c,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,13632586715467761,17226679,30000000,19116901
eden,8313556,0xa3158795bad86515c55f6178f62d326e75ead66b66aa181c4a1ec8f0025753a7,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,13388608947118374,9973467,30000000,19116752
eden,8313525,0x8b6fb56be6500fdf76d01b62de062f1b76267a94ebc1a09cf699e4584c6c40a5,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,25083677748741159,24616589,30000000,19116722
eden,8313409,0x0f0a990069f5ab006413b41b77ce7d4a35b47049f84fbefdbba6633ac1c4d23f,0x8e39849ceabc8710de49b2ca7053813de18b1c12d9ee22149dac4b90b634dd7e6d1e7d3c2b4df806ce32c6228eb70a8b,46567437176430747,19248023,30000000,19116606
eden,8313337,0x8f7adab5cd4d8250ad214d43fc5644fcc357547db848cfbd6d76195c5b595a2d,0x91970c2db7c12510acb2e9c45844f7de602f83a7f31064f7ca04a807b607d7aebfc0abda73c036a92e5c3e56ebca04b7,8135570142648117,18971964,30000000,19116537
eden,8313305,0x114153cf4acfcaedd510d98c7427e6d7a6db905968c02692eebf461a9fa9c223,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,105347718396053250,17123249,30000000,19116506
eden,8313022,0x4f946c173627df118461c0f7f2c97984682bfddb1e28c1122f4c32fac81c3a22,0xa5eec32c40cc3737d643c24982c7f097354150aac1612d4089e2e8af44dbeefaec08a11c76bd57e7d58697ad8b2bbef5,77277182578001075,15606734,30000000,19116229
eden,8312986,0xda3796c37035cfd38b80ffe652a2736af2c9d5a58ec595f5c0d4541569b6512a,0xa412007971217a42ca2ced9a90e7ca0ddfc922a1482ee6adf812c4a307e5fb7d6e668a7c86e53663ddd53c689aa3d350,44343976444562221,29987995,30000000,19116193
