relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit,block_number
manifold,8325905,0xc44e3ba99e2349aec0216db18c1dc01d8dd86dbe14b40a7be7fccd0596395283,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,40823154897444569,19435114,30000000,19129007
manifold,8325741,0xf026fc908a51a0d8dbce50f59a35064608f17ea1ffe029bbac05b1966a8e7e0e,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,83638297363289262,15240642,30000000,19128843
manifold,8325270,0xe0754d9d4cf59a6f1f7470740da751b415619dc3623c567f8b37f421d3e4c234,0x8d0187110022b21a97a265d9b98aae51cdd563e53ceacb6ca9ebd0dcdac91866a52aff73836d95ef1e587591291abb02,10612410262712285,7825056,30000000,19128374
manifold,8325212,0x1005f7bea0e471cc8664b34dfd7ba207bb57849ca17fdd1030aa1703bf25b965,0x8d0187110022b21a97a265d9b98aae51cdd563e53ceacb6ca9ebd0dcdac91866a52aff73836d95ef1e587591291abb02,20300885399275622,15104271,30000000,19128316
manifold,8325024,0x8200390fc6af2a910fdad8118513e3a3ae0b2306b080c26b4bff640e1fe1c800,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,56921190752142275,25028932,30000000,19128128
manifold,8325005,0x3fef750600c5e90f426f901b058b38838162f3fd32e415a1a00c89ab0850f69b,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,747242452668204344,29746601,30000000,19128109
manifold,8324960,0xecd21933d02430908e62d725949eed79d3edf5cce763c4ce99f9c1881176f06c,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,21713733154269097,16947365,30000000,19128065
manifold,8324629,0x226124000a6bc2293245d8c058577fe332dc77bbe94c4695ec1b2c0bc6bb4412,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,38873116514113420,16522273,30000000,19127736
manifold,8324503,0x7adf1a5e1d76974d19300c1956755f95f22dcb32bbd0871f7766f425a450991e,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,79047431042110854,13467118,30000000,19127610
manifold,8324494,0x011bdb34784b82c121ec2ef3b7f7baf6b05372ce0a66cc242ae0a904b42369ff,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,130357357441481943,18428290,29999972,19127601
manifold,8324442,0x2f4b54ae985f4537882366de56073aa4de84fc730859d846f821537333c108c3,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,48950853936178107,18220759,30000000,19127549
manifold,8323806,0x917f28318ff2d427db9317854aa2f02aa5e01b3358cd7ded14690a2c248e855b,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,50689499269955191,14123713,30000000,19126927
manifold,8323708,0xefed77e34a9c6844776b6f3ea8767a88944e67a6ca799d2f6f038b97fba13408,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,113049340841167420,14928856,30000000,19126829
manifold,8323590,0x48ab6f8f00fb14a8c5c53f90aa9ec1c4a38f800dc5cb6fa3ed5262c73912a443,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,115195143891713897,14212949,30000000,19126711
manifold,8323516,0x97723aaa7a418b4df44a65602c3c3271a34cc56ffc7be36c5509d9e27fadadcb,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,73373248896715978,13536943,30000000,19126639
manifold,8323408,0x51b674dc6df1005e8c32e3d498eaf5ea4c422db88dfa6256fada8ae8b2983098,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,421466182366879830,10509367,30000000,19126531
manifold,8323312,0xb4d75e0c52acec7441ad28dcd307139a107b2962ab265139c958c5ab91866e11,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,37288643400556039,14720314,30000000,19126435
manifold,8323174,0x1ddb640a1a620162c9efede8fc66bee5d76438d0b43fa016fc0fc15a182fa0e2,0x8c0d45833884744d8cc4bb3438c3e93bcbc1436a25da5da44cc357e93bc0a7eea1d4664c287c4c63958eedada3846ae8,93092286220022451,23126584,30000000,19126298
manifold,8322745,0xda1a2ce0026019f6f35e3b7ea8cdca068a752f82ee6bbafabfa8575cbcb75ff9,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,190820374473198754,18182650,30000000,19125873
manifold,8322268,0xda4abc7bc26448a1ec3eb4f83f65673a7653d4e6f4c9f0b22194e74b54024c67,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,32360055824888200,11268625,30000000,19125400
manifold,8321742,0x7193b3e15c865dad45d10c6a3965ebc9b9bbc1cd99c13128c0ad5999c58504d8,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,29012960848331372,25708691,30000000,19124884
manifold,8321534,0x8424c40a390a343ca56924dfc9f21d08f63597a90eac66e1c46f446c851d967c,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,37298326506545080,15486732,30000000,19124678
manifold,8321325,0x0affd126022b8c80ae2ebeb74948540c909fb8267b8abc8761b8c6d271dff805,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,109183263464393086,9583856,30000000,19124471
manifold,8321221,0xd7a3dbfbc2cc2f163c504e7346675ee055c580ea2adec852b31382ef1eaf45c9,0x8d0187110022b21a97a265d9b98aae51cdd563e53ceacb6ca9ebd0dcdac91866a52aff73836d95ef1e587591291abb02,6079156274588472,14031728,30000000,19124367
manifold,8321035,0x4fb25383c12ae449dda48bb158e2b0c09cc90d3bd90ac782690a8a112848168e,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,21201139170091644,8224995,30000000,19124184
manifold,8320700,0x860301072ebf9ad3ca0548042822e2a5c3f4c6b813b2205ce676962270c0f000,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,228483620031844958,13713443,30000000,19123853
manifold,8319267,0x3529b02997240957d022068a28d41c702d3b348d5a932ebd85ca4974e1bd6734,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,36218802903883877,9532259,30000000,19122429
manifold,8319260,0x2ff5cfeb39d36e6b4157ee7d38d7684fbe6607dc1ffd54b74cbb895d9ff8bcf4,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,75661845620323544,10481672,30000000,19122422
manifold,8319001,0x198a19c97067597f28187c6375e36c8c699fc8ccac119a3d96754d35bf697fe9,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,12492184449214951,10420950,30000000,19122166
manifold,8318911,0xa79a4ca6c7d445ba4e304b97b83a37240b86a3c76549d71b808c78c6862326c0,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,31478608541139406,11781807,30000000,19122076
manifold,8318713,0xf432757f3bddd1796612fa3efd64703bc367bf1e052545acca89956ca7e811eb,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,27000516408469004,16839544,30000000,19121879
manifold,8318560,0xfc2a303156c7260cddb6fca81678b7f17774a23f2c49c6251fd22474e376b63b,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,31054617384274019,10787658,30000000,19121726
manifold,8318242,0x5cc9229b84a0673098b472c108f4451a7d07b1b0a6d68fc59d040cf97cf78d5b,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,73919460857944373,29994992,30000000,19121409
manifold,8318088,0xc0905f8cadff928ff1e7e5ac39bf1ab77daa0e714267af44dd7b16a2730881f9,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,883875442261266167,16708994,30000000,19121257
manifold,8317369,0x5563846b851b005496e4308635b13eb8d3aa1c9cc0421edb2e6323141bf7f195,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,163729859468691244,12071873,30000000,19120546
manifold,8317349,0xf8c2c3b45401f85711c826f2114d48d65f89d5fa4199e8389dd5b014266c645c,0x87d5f36a5ea056611e33431e93e892810941befa05e13842249c8b307c182d77b67f6c813f327a5723362da9ea8b82cf,47339418823221695,16900005,30000000,19120526
manifold,8316692,0x7785c90588543845837b42a4ba774126e69026c53b7f4c77c2ab4368e435753b,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,14750269068929046,12263659,30000000,19119874
manifold,8315452,0xfb688e3bef7924fdcaa0bf7adef17f128981fef25cd07306a00a204c2b71dc6b,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,113346521384362330,12311307,30000000,19118641
manifold,8315282,0x5bbb88ac9634ed4ef421a068b3bc4a70532ccb17b6e7a941c960c160b6b433de,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,28089493800608939,19514133,30000000,19118471
manifold,8315203,0x49f05b8e01b7061b8949c7a1f482c036cba9a94985f0b090831bb0d526a9356b,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,18578384442438764,12729052,30000000,19118393
manifold,8315200,0xbaa418f1f3701933712a845ecb5b258fb9ad2a38162559fd9918b4bd3cf75621,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,35713735242067759,14210997,30000000,19118390
manifold,8314996,0xf696db95fd34d3da6dfa42c620f324fb51dde687093536eb6b0ffcb20e8a947c,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,15455459883022311,14694091,30000000,19118187
manifold,8314927,0x4489aacf2e657c61508855ea20da8f9320008ef37b3b67fac094c394a415a2c2,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,14239862371466672,13207661,30000000,19118119
manifold,8313758,0x5c931c13a83208063b3e68131b934b08b5622a16d6e51276830fae31bd1910cc,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,10727408281351618,18431359,30000000,19116954
manifold,8313710,0x0d7fce0c13c46679f0d64557e790b9a86e59721f11616ddc4f9760b749b2be31,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,16357163726945864,8334847,30000000,19116906
manifold,8313516,0x161c136c3e968b19b568d0f707992227179ceaf63b93303c268b96715ecdf54f,0x8d0187110022b21a97a265d9b98aae51cdd563e53ceacb6ca9ebd0dcdac91866a52aff73836d95ef1e587591291abb02,9849146265262143,10662846,30000000,19116713
manifold,8312785,0xcc8e769e8d00b6aa26958e3c1bfdf127a1d105c97172e5a9a21061f7d6090adc,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,33407973430285589,10447182,30000000,19115993
manifold,8312654,0xe065bf68d801ac002aa0d1ef2fdea90b620e1afecbe1abdf084de2d264a103fc,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,31387340271003826,19324319,30000000,19115862
manifold,8310828,0x4bbaf7c7d59e70518eb3c9e5ab483ef437d6765fd5216f0e9e7e227777d7b602,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,33552777536245873,19495025,30000000,19114060
manifold,8309539,0x8709fe47948343913aafdcf41d8012ed6dad5f9924ef0597151ed044578b5726,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,60242474645339101,14448817,30000000,19112778
manifold,8308433,0x54192a1335f13adfb2f9631f257f46c7f9d619169426d92f304b74835633eab8,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,14924765864330085,12658031,30000000,19111682
manifold,8307982,0x1f20cacb5f4b653650396427e1be04e72ee72d8c2533283197f64e840e7051d1,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,154611674005890482,11293633,30000000,19111232
manifold,8306975,0xb99e0101a535c745dd04256de20e17ed6bade3a7335b5ceee1cea042abd292c5,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,45455420376258587,8736197,30000000,19110233
manifold,8306970,0xad25e89c1387186c611587a7fbd9780b06ed4b472dccd227a523e690c67d8a4e,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,12612431675376423,11428114,30000000,19110228
manifold,8306965,0x279a2df10f34f7881b11359f43974f9b2213b035f92e7968bacfa0d7bc5f02a9,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,19111314116275598,21307589,30000000,19110223
manifold,8306860,0x6b427b3d877dc5e04d158b458e3bc912860a5fb6b4d5b8fb9c97f5d2f8d1313d,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,12784066685464780,10566408,30000000,19110118
manifold,8306709,0xcda929c3ddd1523a9876655e0f06ad03d719d845eb0756c5e9390411b199d724,0xb783f81b2929e70c5b9a066d082d85dd12efa1c3e95185e18aabe6f4f93e387618532dc63ff80fdc3d9704f0ca5bc8c3,17127615852315949,16135553,30000000,19109968
manifold,8306553,0x32395145526821a979517d21be1c89ed19170286154946c84a8c5f8f59707d68,0xa87b7288a39c48a71913926dcf55a7e423705b741e3893474658d3ea4413d98b0fcad61bc725ad6b5604af6a2d9a1029,27095131404303668,7498290,30000000,19109812
